,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,"Biệt thự đường Xô Viết Nghệ Tĩnh, 6,5x25m","Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],161 m²,230 m²,3 phòng,3 phòng,[],[],6.5 m,25 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"93,17 triệu/m²",15 tỷ- 161 m2đ
1,"Biệt Thự cách Quận 1 5 phút,140 m2,4 tầng,27,7 tỷ","Đường Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],140 m²,140 m²,4 phòng,4 phòng,[],[],8 m,18 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"197,86 triệu/m²","27,7 tỷ- 140 m2đ"
2,Bán Nhà Thu Hồi Vốn Nhà 3L SHR Chợ Bùi Đình Tuý,Đường Bùi Đình Túy,[],[],[],[],[],50 m²,50 m²,4 phòng,3 phòng,[],[],4 m,13 m,['Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"147,6 triệu/m²","7,38 tỷ- 50 m2đ"
3,Biệt thự 3 tầng Bùi Hữu Nghĩa 216m2 sang trọng,"282, Đường Bùi Hữu Nghĩa, Phường 2, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],118 m²,216 m²,6 phòng,3 phòng,3,[],8 m,16 m,['Đông Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"86,44 triệu/m²","10,2 tỷ- 118 m2đ"
4,"Kẹt tiền bán gấp MT 57 Tăng Bạt Hổ,Q.Bình Thạnh","Đường Tăng Bạt Hổ, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],420 m²,[],1 phòng,[],[],[],[],[],[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"96,43 triệu/m²","40,5 tỷ- 420 m2đ"
5,Biệt thự mặt tiền Quận Bình Thạnh 462m²,"226 Bạch Đằng ,phường 24, quận Bình Thạnh ,tp Hồ Chí Minh, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],462 m²,[],8 phòng,6 phòng,3,[],[],[],['Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Nở hậu'],[],"99,57 triệu/m²",46 tỷ- 462 m2đ
6,"Cần Bán Gấp Nhà mt hẻm 200 Bình Lợi, dt 7x18m,13tỷ","200/173, Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],126 m²,[],5 phòng,5 phòng,[],[],7 m,18 m,['Đông Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"103,17 triệu/m²",13 tỷ- 126 m2đ
7,Nhà Bùi Đình Túy 68m2 Sổ Hồng Riêng Bình Thạnh,"Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],68 m²,[],4 phòng,5 phòng,3,[],[],[],['Đông'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"117,65 triệu/m²",8 tỷ- 68 m2đ
8,BÁN NHÀ MỚI XÂY ĐƯỜNG NGUYỄN VĂN ĐẬU F11 QBT,"Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],62 m²,230 m²,5 phòng,6 phòng,4,[],4.1 m,18 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"133,87 triệu/m²","8,3 tỷ- 62 m2đ"
9,Biệt thự 179m2 đất đường 8m khu Nguyễn Hữu Cảnh,"Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],179 m²,[],5 phòng,6 phòng,[],[],10 m,20 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"131,28 triệu/m²","23,5 tỷ- 179 m2đ"
